2020-11-30 08:48:00.867 [http-nio-8094-exec-9] WARN  com.zaxxer.hikari.util.DriverDataSource - Registered driver with driverClassName=oracle.jdbc.driver.OracleDriver was not found, trying direct instantiation.
2020-11-30 09:14:04.627 [http-nio-8094-exec-3] WARN  com.zaxxer.hikari.pool.PoolBase - DatebookHikariCP - Failed to validate connection oracle.jdbc.driver.T4CConnection@10632086 (IO 错误: Socket read timed out). Possibly consider using a shorter maxLifetime value.
2020-11-30 09:14:23.569 [http-nio-8094-exec-3] WARN  com.zaxxer.hikari.pool.PoolBase - DatebookHikariCP - Failed to validate connection oracle.jdbc.driver.T4CConnection@bb68912 (IO 错误: Socket read timed out). Possibly consider using a shorter maxLifetime value.
2020-11-30 09:15:23.402 [http-nio-8094-exec-4] WARN  com.zaxxer.hikari.pool.PoolBase - DatebookHikariCP - Failed to validate connection oracle.jdbc.driver.T4CConnection@14ee262 (IO 错误: Socket read timed out). Possibly consider using a shorter maxLifetime value.
2020-11-30 13:56:13.617 [http-nio-8094-exec-9] WARN  com.zaxxer.hikari.pool.PoolBase - DatebookHikariCP - Failed to validate connection oracle.jdbc.driver.T4CConnection@49f02a3f (IO 错误: Socket read timed out). Possibly consider using a shorter maxLifetime value.
2020-11-30 13:56:32.604 [http-nio-8094-exec-9] WARN  com.zaxxer.hikari.pool.PoolBase - DatebookHikariCP - Failed to validate connection oracle.jdbc.driver.T4CConnection@2e9d15d1 (IO 错误: Socket read timed out). Possibly consider using a shorter maxLifetime value.
2020-11-30 13:57:36.892 [http-nio-8094-exec-1] WARN  com.zaxxer.hikari.util.DriverDataSource - Registered driver with driverClassName=oracle.jdbc.driver.OracleDriver was not found, trying direct instantiation.
2020-11-30 14:59:09.816 [http-nio-8094-exec-3] WARN  com.zaxxer.hikari.util.DriverDataSource - Registered driver with driverClassName=oracle.jdbc.driver.OracleDriver was not found, trying direct instantiation.
2020-11-30 15:40:58.204 [restartedMain] WARN  o.s.b.w.s.c.AnnotationConfigServletWebServerApplicationContext - Exception encountered during context initialization - cancelling refresh attempt: org.springframework.beans.factory.UnsatisfiedDependencyException: Error creating bean with name 'vehicleRepairController': Unsatisfied dependency expressed through field 'vehicleRepairService'; nested exception is org.springframework.beans.factory.NoSuchBeanDefinitionException: No qualifying bean of type 'com.twkf.service.VehicleRepairService' available: expected at least 1 bean which qualifies as autowire candidate. Dependency annotations: {@org.springframework.beans.factory.annotation.Autowired(required=true)}
2020-11-30 15:51:13.786 [http-nio-8094-exec-9] WARN  com.zaxxer.hikari.util.DriverDataSource - Registered driver with driverClassName=oracle.jdbc.driver.OracleDriver was not found, trying direct instantiation.
2020-11-30 15:54:16.602 [http-nio-8094-exec-1] WARN  com.zaxxer.hikari.util.DriverDataSource - Registered driver with driverClassName=oracle.jdbc.driver.OracleDriver was not found, trying direct instantiation.
